Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Non-Travel,266,Research & Development,28,2,Human Resources,1.0,137,2,Female,51,4,4,Research Scientist,2,Single,9381,21175,2,Y,No,17,4,1,80,2,26,5,3,38,10,2,9
41,No,Travel_Frequently,1273,Human Resources,24,4,Other,1.0,138,3,Male,48,1,4,Sales Executive,4,Single,6904,7658,2,Y,No,11,4,2,80,0,34,5,4,17,4,4,8
48,No,Travel_Frequently,120,Research & Development,9,4,Marketing,1.0,139,3,Male,88,3,4,Healthcare Representative,3,Divorced,14136,8742,1,Y,No,12,3,4,80,2,30,4,4,12,9,3,7
32,Yes,Non-Travel,1373,Sales,8,1,Technical Degree,1.0,140,1,Male,68,3,3,Research Scientist,1,Married,10911,5791,6,Y,Yes,18,4,4,80,0,37,5,3,24,9,5,4
22,No,Travel_Frequently,1228,Research & Development,23,4,Life Sciences,1.0,141,4,Female,85,3,4,Research Scientist,3,Divorced,16873,15709,7,Y,Yes,19,3,1,80,3,39,2,3,25,17,5,11
25,No,Travel_Rarely,703,Sales,23,1,Technical Degree,1.0,142,3,Female,60,1,1,Manufacturing Director,1,Single,12019,13584,4,Y,Yes,21,3,2,80,1,37,2,3,38,10,12,6
55,Yes,Travel_Rarely,442,Research & Development,8,4,Human Resources,1.0,143,1,Male,45,2,4,Healthcare Representative,4,Divorced,13036,10034,8,Y,Yes,21,3,1,80,1,0,4,2,17,6,5,9
43,Yes,Travel_Frequently,1208,Sales,13,4,Life Sciences,1.0,144,1,Female,34,3,4,Manager,3,Divorced,17345,13005,1,Y,Yes,23,4,2,80,2,39,3,2,34,14,4,7
39,Yes,Travel_Rarely,195,Sales,5,2,Life Sciences,1.0,145,3,Male,83,3,2,Sales Executive,1,Divorced,8027,21973,4,Y,Yes,11,3,3,80,2,39,0,1,15,12,1,7
45,No,Travel_Rarely,559,Sales,18,3,Other,1.0,146,3,Female,38,3,4,Laboratory Technician,3,Married,11232,11518,7,Y,No,22,4,1,80,2,38,1,4,29,4,1,14
48,Yes,Travel_Frequently,168,Sales,28,1,Life Sciences,1.0,147,2,Female,30,4,2,Research Scientist,2,Single,8402,22761,7,Y,Yes,23,4,1,80,1,2,5,3,29,5,13,4
57,No,Travel_Frequently,464,Research & Development,25,2,Life Sciences,1.0,148,1,Male,84,4,2,Sales Representative,1,Married,6139,15922,0,Y,No,19,3,2,80,2,1,3,2,37,6,1,12
48,Yes,Travel_Frequently,1252,Human Resources,4,2,Other,1.0,149,4,Female,32,4,3,Manufacturing Director,3,Single,10382,7193,2,Y,Yes,19,4,4,80,3,3,5,1,0,16,6,14
24,Yes,Travel_Rarely,500,Sales,5,3,Life Sciences,1.0,150,3,Male,70,2,4,Sales Executive,2,Divorced,17764,20623,0,Y,Yes,12,4,3,80,2,30,3,4,38,14,7,9
21,Yes,Non-Travel,908,Research & Development,24,2,Life Sciences,1.0,151,1,Female,54,1,3,Research Scientist,2,Single,15885,18093,0,Y,Yes,23,4,1,80,3,8,4,1,0,14,7,11
20,No,Non-Travel,506,Research & Development,4,3,Other,1.0,152,2,Male,81,1,1,Manager,3,Divorced,13076,9925,5,Y,No,24,3,2,80,1,31,1,3,17,16,11,10
24,Yes,Travel_Frequently,433,Sales,6,1,Other,1.0,153,4,Female,38,1,3,Sales Executive,4,Married,11453,12628,9,Y,Yes,16,3,2,80,1,31,2,1,37,0,7,6
57,No,Travel_Rarely,1013,Research & Development,24,2,Technical Degree,1.0,154,4,Male,84,3,3,Research Scientist,4,Married,14384,10940,8,Y,Yes,22,3,2,80,0,13,3,3,28,8,1,4
37,No,Travel_Rarely,421,Sales,19,2,Life Sciences,1.0,155,2,Female,65,2,2,Laboratory Technician,1,Married,18320,18733,8,Y,No,12,3,2,80,2,26,4,3,9,12,13,11
57,No,Non-Travel,1463,Research & Development,8,3,Human Resources,1.0,156,1,Female,35,2,2,Manager,2,Single,11901,22636,3,Y,Yes,21,4,2,80,2,36,5,3,16,0,11,6
27,No,Travel_Rarely,1385,Sales,1,2,Human Resources,1.0,157,2,Male,49,2,4,Manager,1,Single,18772,8468,1,Y,Yes,16,3,2,80,2,0,5,1,4,7,11,14
20,Yes,Non-Travel,610,Human Resources,16,1,Human Resources,1.0,158,2,Female,66,3,1,Sales Representative,3,Single,16367,20662,1,Y,No,14,4,2,80,0,5,1,2,5,15,2,4
58,No,Non-Travel,230,Human Resources,7,2,Other,1.0,159,4,Female,89,1,4,Research Director,3,Married,6789,14639,7,Y,Yes,12,3,2,80,0,31,2,4,20,14,2,1
21,No,Travel_Frequently,129,Human Resources,3,4,Human Resources,1.0,160,4,Female,96,3,3,Sales Executive,3,Married,17078,9843,6,Y,Yes,20,3,2,80,2,34,1,3,20,6,14,6
44,Yes,Travel_Rarely,516,Sales,18,4,Medical,1.0,161,4,Male,51,1,2,Manager,2,Divorced,5237,12991,3,Y,No,21,4,3,80,1,8,4,1,37,0,8,10
57,No,Travel_Rarely,1456,Research & Development,3,2,Marketing,1.0,162,3,Male,47,4,1,Research Director,4,Single,9110,16120,8,Y,No,14,3,4,80,0,24,2,1,39,12,12,12
42,No,Travel_Rarely,273,Human Resources,24,2,Medical,1.0,163,4,Female,68,2,2,Research Director,3,Divorced,3053,5108,4,Y,No,16,3,1,80,3,4,4,4,8,0,11,12
35,Yes,Non-Travel,142,Research & Development,9,4,Medical,1.0,164,2,Female,85,3,2,Sales Executive,2,Single,10516,16049,4,Y,Yes,21,4,2,80,0,3,1,4,20,4,9,10
18,No,Non-Travel,1178,Research & Development,23,4,Medical,1.0,165,2,Female,86,4,4,Research Director,1,Divorced,11277,14602,3,Y,Yes,19,4,2,80,2,19,0,4,33,0,7,10
33,Yes,Travel_Frequently,1177,Human Resources,1,3,Other,1.0,166,2,Male,72,1,4,Manufacturing Director,1,Divorced,10763,23330,1,Y,Yes,21,3,2,80,2,27,0,3,22,4,9,12
48,No,Non-Travel,520,Human Resources,11,2,Human Resources,1.0,167,3,Male,62,4,2,Healthcare Representative,2,Divorced,14814,9796,5,Y,Yes,21,4,4,80,3,36,4,2,38,2,7,4
56,No,Travel_Rarely,974,Sales,5,2,Medical,1.0,168,3,Female,37,1,4,Research Scientist,3,Married,11723,7006,9,Y,No,16,4,2,80,2,1,3,4,30,8,5,3
22,Yes,Travel_Rarely,1347,Human Resources,27,1,Human Resources,1.0,169,1,Female,71,3,1,Manager,2,Divorced,9909,9077,3,Y,No,16,4,1,80,0,1,1,3,12,16,13,12
48,Yes,Travel_Rarely,1164,Human Resources,15,2,Marketing,1.0,170,3,Male,78,1,4,Research Director,4,Married,18279,8494,4,Y,No,19,3,4,80,3,13,2,4,31,11,7,6
46,No,Travel_Frequently,420,Sales,2,3,Human Resources,1.0,171,4,Male,51,3,4,Manufacturing Director,3,Divorced,7584,21907,9,Y,Yes,13,3,2,80,1,0,0,3,24,6,8,5
39,No,Non-Travel,847,Sales,24,4,Human Resources,1.0,172,2,Male,61,3,1,Healthcare Representative,2,Divorced,4820,9474,4,Y,No,14,3,2,80,3,32,1,1,17,5,5,4
21,Yes,Non-Travel,322,Research & Development,16,1,Other,1.0,173,3,Male,80,1,1,Research Director,1,Single,12658,7125,4,Y,No,20,4,3,80,1,24,4,2,39,14,10,2
35,No,Non-Travel,550,Human Resources,24,2,Other,1.0,174,3,Female,98,3,4,Manufacturing Director,4,Divorced,4457,24039,1,Y,Yes,14,4,2,80,3,31,3,3,26,10,2,7
36,No,Travel_Frequently,537,Sales,2,1,Other,1.0,175,4,Male,84,1,2,Manufacturing Director,3,Married,9154,5503,4,Y,No,23,4,1,80,0,11,3,4,8,1,13,9
57,No,Non-Travel,763,Human Resources,22,4,Other,1.0,176,1,Female,65,3,1,Research Director,1,Single,4432,13109,1,Y,Yes,21,4,2,80,3,7,3,2,28,8,5,6
55,No,Travel_Rarely,287,Human Resources,12,2,Human Resources,1.0,177,2,Male,99,1,4,Sales Representative,3,Married,17505,14448,6,Y,Yes,19,4,1,80,3,38,3,3,1,8,0,0
45,Yes,Travel_Rarely,382,Research & Development,23,1,Other,1.0,178,1,Male,39,2,4,Manufacturing Director,1,Divorced,3815,8766,5,Y,No,15,4,2,80,3,38,0,3,24,0,9,4
26,Yes,Non-Travel,1284,Sales,1,3,Other,1.0,179,2,Male,30,1,1,Healthcare Representative,1,Single,6829,10362,6,Y,No,20,3,4,80,0,32,5,2,31,16,8,3
23,No,Non-Travel,1319,Sales,13,1,Life Sciences,1.0,180,1,Female,37,4,2,Research Director,4,Divorced,9553,21451,7,Y,No,14,3,1,80,1,0,1,1,29,11,1,14
37,No,Travel_Rarely,373,Human Resources,26,2,Other,1.0,181,3,Female,63,1,4,Sales Executive,1,Married,4510,19451,3,Y,No,16,4,1,80,1,15,2,1,15,15,3,14
47,Yes,Non-Travel,918,Human Resources,27,3,Technical Degree,1.0,182,4,Female,39,3,3,Manager,2,Divorced,16651,5097,0,Y,No,20,4,3,80,0,3,5,1,13,9,8,13
23,Yes,Non-Travel,184,Human Resources,19,2,Human Resources,1.0,183,3,Female,78,1,4,Manufacturing Director,4,Single,10380,5089,7,Y,No,23,4,2,80,2,22,0,1,26,5,8,1
51,No,Travel_Rarely,525,Human Resources,10,4,Other,1.0,184,4,Male,54,1,4,Research Director,2,Married,10225,12176,0,Y,No,14,4,4,80,1,33,4,1,32,9,13,7
55,Yes,Travel_Rarely,1253,Research & Development,3,1,Human Resources,1.0,185,2,Male,74,4,1,Manager,2,Single,9606,11031,2,Y,No,22,4,4,80,0,34,4,3,33,4,13,3
25,Yes,Non-Travel,1350,Human Resources,8,2,Human Resources,1.0,186,4,Male,82,4,2,Research Scientist,1,Married,12083,13764,7,Y,No,24,4,2,80,2,25,0,1,24,1,11,7
25,Yes,Travel_Rarely,1235,Research & Development,19,4,Life Sciences,1.0,187,1,Male,48,3,3,Research Director,4,Married,13123,18312,0,Y,Yes,16,3,1,80,2,14,0,3,31,5,12,13
39,No,Travel_Frequently,186,Research & Development,4,3,Human Resources,1.0,188,4,Male,82,2,3,Manager,3,Divorced,9703,16972,3,Y,Yes,17,4,3,80,0,1,5,3,22,13,10,3
57,Yes,Non-Travel,754,Research & Development,26,3,Technical Degree,1.0,189,2,Male,73,2,1,Healthcare Representative,2,Divorced,12590,22979,6,Y,No,23,3,1,80,3,19,5,1,19,2,12,9
41,Yes,Travel_Rarely,1069,Human Resources,16,2,Marketing,1.0,190,1,Female,59,1,4,Healthcare Representative,1,Married,10058,14153,7,Y,Yes,23,4,3,80,3,14,2,1,33,5,12,11
23,No,Non-Travel,634,Sales,14,1,Other,1.0,191,3,Female,69,4,2,Research Director,4,Divorced,16947,22597,1,Y,No,15,3,2,80,3,18,2,1,2,2,0,4
47,No,Travel_Frequently,1113,Research & Development,27,3,Marketing,1.0,192,4,Male,32,4,3,Healthcare Representative,1,Divorced,8898,13061,5,Y,No,23,4,2,80,1,15,0,4,39,5,13,13
29,Yes,Non-Travel,636,Human Resources,18,4,Medical,1.0,193,4,Female,41,3,3,Sales Executive,1,Married,9166,11756,2,Y,Yes,14,4,1,80,0,28,4,1,5,1,10,2
43,Yes,Non-Travel,1051,Research & Development,24,2,Technical Degree,1.0,194,4,Female,54,3,4,Research Director,3,Single,5889,20449,9,Y,No,19,3,1,80,0,26,4,3,34,5,6,1
36,No,Travel_Rarely,183,Research & Development,22,3,Medical,1.0,195,2,Female,93,2,2,Sales Executive,1,Single,13524,17157,2,Y,No,19,4,3,80,1,37,2,3,5,0,9,12
37,Yes,Non-Travel,1152,Sales,27,2,Other,1.0,196,4,Male,59,3,4,Healthcare Representative,4,Divorced,12317,15769,9,Y,Yes,22,4,3,80,2,17,2,4,11,11,5,10
48,No,Travel_Rarely,984,Research & Development,21,2,Technical Degree,1.0,197,1,Female,94,3,1,Manufacturing Director,3,Single,10575,7669,0,Y,No,16,4,2,80,1,36,5,3,8,3,0,6
26,Yes,Travel_Rarely,590,Research & Development,15,2,Technical Degree,1.0,198,2,Female,39,2,3,Healthcare Representative,2,Married,14410,13504,2,Y,Yes,21,3,4,80,0,30,2,3,9,2,0,2
25,Yes,Travel_Frequently,1460,Human Resources,10,2,Technical Degree,1.0,199,1,Female,96,1,4,Research Director,4,Married,11792,19529,6,Y,Yes,24,3,1,80,0,13,3,3,21,16,6,12
55,No,Travel_Frequently,379,Research & Development,14,4,Life Sciences,1.0,200,3,Male,56,3,2,Healthcare Representative,4,Divorced,12151,12431,2,Y,No,14,4,3,80,0,0,3,1,18,4,8,0
36,Yes,Travel_Frequently,1224,Sales,8,1,Life Sciences,1.0,201,2,Male,95,4,3,Sales Representative,4,Single,15118,10573,0,Y,No,13,3,2,80,1,26,1,3,2,14,11,0
52,No,Non-Travel,512,Research & Development,26,3,Human Resources,1.0,202,4,Male,65,4,3,Laboratory Technician,4,Single,18181,19280,5,Y,Yes,15,4,3,80,0,21,3,3,5,14,3,2
30,No,Travel_Rarely,865,Sales,29,3,Life Sciences,1.0,203,3,Male,58,3,4,Research Scientist,1,Divorced,5569,6539,7,Y,Yes,12,3,4,80,3,30,0,1,35,11,14,3
58,Yes,Travel_Rarely,730,Human Resources,6,3,Life Sciences,1.0,204,4,Male,54,3,3,Sales Representative,1,Single,7126,13958,1,Y,No,13,4,4,80,1,2,2,3,24,1,13,2
47,Yes,Non-Travel,1381,Human Resources,26,3,Other,1.0,205,2,Female,92,4,1,Laboratory Technician,3,Divorced,11187,12641,0,Y,Yes,14,4,2,80,2,7,3,3,14,9,8,13
33,No,Travel_Rarely,1444,Human Resources,29,4,Life Sciences,1.0,206,2,Male,41,1,2,Research Scientist,4,Single,19051,14318,0,Y,No,11,4,2,80,2,29,1,4,30,11,0,14
23,Yes,Non-Travel,521,Sales,4,2,Technical Degree,1.0,207,3,Male,94,1,1,Manager,3,Divorced,6681,10530,4,Y,Yes,17,4,1,80,3,33,0,1,21,14,9,14
48,No,Non-Travel,1347,Research & Development,1,3,Technical Degree,1.0,208,4,Female,67,2,1,Healthcare Representative,1,Married,12796,16828,2,Y,Yes,13,4,2,80,1,3,1,2,34,10,10,5
25,Yes,Travel_Frequently,336,Human Resources,11,1,Medical,1.0,209,2,Female,74,2,2,Research Scientist,3,Married,2684,13524,2,Y,Yes,15,4,4,80,0,3,3,3,19,13,12,7
19,Yes,Non-Travel,1385,Research & Development,8,1,Human Resources,1.0,210,2,Female,53,1,4,Sales Executive,4,Married,3705,24708,6,Y,No,17,3,4,80,3,16,1,4,39,4,7,10
41,No,Travel_Rarely,276,Research & Development,4,3,Other,1.0,211,3,Male,98,3,4,Manufacturing Director,2,Single,5234,12690,2,Y,No,12,3,1,80,2,18,5,2,25,1,2,2
19,Yes,Travel_Rarely,996,Human Resources,26,4,Medical,1.0,212,4,Female,69,1,1,Sales Executive,3,Married,18574,7379,4,Y,Yes,17,3,3,80,2,29,3,4,22,15,13,5
41,Yes,Travel_Rarely,389,Research & Development,10,2,Marketing,1.0,213,4,Male,74,2,4,Research Scientist,2,Married,13907,19928,8,Y,No,12,4,3,80,1,1,0,4,18,4,8,6
40,No,Non-Travel,789,Human Resources,14,2,Medical,1.0,214,1,Female,62,2,1,Sales Executive,2,Single,10901,8431,3,Y,No,13,3,4,80,1,6,3,1,18,6,5,8
25,Yes,Travel_Rarely,1055,Human Resources,29,3,Other,1.0,215,1,Female,99,2,4,Healthcare Representative,3,Single,18518,24762,1,Y,Yes,17,3,1,80,3,5,2,4,26,15,14,9
40,Yes,Travel_Frequently,140,Research & Development,1,4,Medical,1.0,216,1,Female,58,1,3,Manager,4,Divorced,17198,7608,0,Y,Yes,21,3,4,80,3,34,0,4,28,8,7,14
53,No,Travel_Frequently,1209,Human Resources,14,4,Medical,1.0,217,1,Female,73,3,1,Sales Executive,4,Single,16255,14529,9,Y,Yes,23,4,4,80,2,37,0,1,27,6,2,6
54,No,Travel_Frequently,968,Research & Development,9,4,Life Sciences,1.0,218,4,Male,53,4,2,Manager,4,Divorced,9836,14263,0,Y,No,20,3,2,80,1,1,2,2,20,10,13,9
20,No,Non-Travel,237,Sales,8,4,Life Sciences,1.0,219,4,Male,79,1,4,Healthcare Representative,2,Divorced,16846,24029,5,Y,No,14,3,3,80,1,31,2,2,31,13,8,5
54,No,Travel_Rarely,1068,Human Resources,29,2,Marketing,1.0,220,2,Male,34,2,1,Manufacturing Director,4,Married,3666,20937,3,Y,No,19,4,4,80,1,30,3,4,31,13,9,4
44,No,Travel_Rarely,556,Human Resources,9,4,Marketing,1.0,221,4,Male,86,2,2,Sales Executive,2,Divorced,12906,20505,1,Y,Yes,15,4,3,80,0,38,1,4,32,11,4,0
46,Yes,Non-Travel,321,Research & Development,22,2,Medical,1.0,222,1,Male,98,4,3,Sales Executive,4,Divorced,8292,20338,4,Y,Yes,11,3,4,80,1,0,2,1,30,1,8,6
43,Yes,Non-Travel,1274,Human Resources,25,3,Human Resources,1.0,223,3,Male,79,3,1,Manufacturing Director,3,Married,3346,13470,0,Y,Yes,20,4,3,80,3,37,4,2,5,3,9,3
22,Yes,Travel_Rarely,1023,Research & Development,5,1,Life Sciences,1.0,224,2,Female,82,1,2,Sales Representative,2,Divorced,11421,17302,9,Y,Yes,21,4,2,80,3,23,3,2,23,9,6,7
21,Yes,Travel_Rarely,687,Sales,28,4,Marketing,1.0,225,1,Female,79,2,1,Sales Representative,4,Single,3704,24280,7,Y,Yes,16,4,1,80,1,16,4,3,7,7,13,1
20,No,Non-Travel,1331,Human Resources,3,3,Other,1.0,226,1,Male,57,3,2,Sales Executive,2,Married,7708,18682,8,Y,No,24,4,1,80,0,20,5,1,35,9,4,10
39,Yes,Non-Travel,715,Sales,28,1,Other,1.0,227,1,Female,62,4,1,Manager,1,Married,18265,23909,0,Y,No,19,4,1,80,1,7,0,3,32,9,11,7
20,No,Travel_Frequently,1313,Sales,12,3,Technical Degree,1.0,228,3,Female,39,4,3,Research Scientist,1,Single,10707,17462,7,Y,Yes,14,4,1,80,3,27,2,4,12,10,6,2
48,No,Travel_Frequently,512,Human Resources,6,2,Medical,1.0,229,2,Female,35,3,4,Manager,2,Single,9042,14542,9,Y,No,16,3,4,80,1,10,3,4,33,8,13,5
50,Yes,Travel_Frequently,1245,Sales,17,2,Other,1.0,230,2,Female,64,4,4,Laboratory Technician,3,Single,4623,6311,7,Y,Yes,19,4,1,80,1,34,3,1,6,9,10,10
56,Yes,Non-Travel,1264,Research & Development,9,3,Life Sciences,1.0,231,2,Female,71,2,3,Sales Representative,1,Divorced,16916,6637,7,Y,No,13,4,1,80,1,22,2,4,28,3,2,2
57,Yes,Travel_Rarely,806,Sales,3,1,Technical Degree,1.0,232,2,Male,33,4,2,Manufacturing Director,1,Divorced,7269,24133,5,Y,Yes,21,3,1,80,3,16,4,2,0,3,11,1
53,No,Travel_Frequently,372,Human Resources,26,2,Technical Degree,1.0,233,3,Male,42,2,3,Research Director,2,Divorced,19951,15082,7,Y,No,14,3,3,80,0,23,2,2,11,8,4,3
48,No,Non-Travel,660,Human Resources,23,4,Human Resources,1.0,234,4,Male,83,4,1,Research Scientist,1,Divorced,17994,7194,6,Y,No,17,4,2,80,1,23,0,2,9,1,0,10
25,No,Travel_Rarely,336,Human Resources,2,3,Marketing,1.0,235,1,Male,32,4,1,Manufacturing Director,3,Single,4740,15665,8,Y,Yes,18,4,3,80,1,18,2,2,20,12,5,11
57,No,Travel_Frequently,703,Research & Development,5,1,Marketing,1.0,236,1,Male,57,3,4,Laboratory Technician,1,Married,14468,10242,4,Y,No,12,3,1,80,0,15,2,1,24,10,8,14
56,No,Travel_Rarely,1149,Human Resources,3,1,Medical,1.0,237,2,Female,77,3,3,Healthcare Representative,4,Married,15788,13625,6,Y,Yes,22,3,3,80,2,31,0,4,34,9,8,5
39,No,Travel_Frequently,539,Sales,16,4,Other,1.0,238,2,Male,53,4,1,Sales Executive,3,Single,11796,6903,8,Y,Yes,12,3,2,80,3,19,1,2,10,0,0,13
48,Yes,Travel_Rarely,311,Sales,23,3,Marketing,1.0,239,1,Male,30,1,2,Sales Representative,4,Divorced,17275,21907,1,Y,Yes,18,4,3,80,3,32,3,4,15,17,4,7
28,No,Travel_Rarely,790,Sales,12,4,Technical Degree,1.0,240,2,Male,94,3,4,Manager,4,Divorced,4236,22073,9,Y,Yes,17,3,1,80,0,20,4,3,31,7,5,13
51,No,Travel_Frequently,1250,Research & Development,11,4,Human Resources,1.0,241,1,Female,66,4,3,Healthcare Representative,4,Single,8103,16605,7,Y,Yes,18,4,1,80,3,0,1,2,27,6,1,13
44,No,Non-Travel,702,Human Resources,1,3,Other,1.0,242,1,Female,93,1,1,Research Scientist,4,Single,15076,16181,4,Y,Yes,21,4,1,80,1,3,2,1,28,4,2,8
48,No,Travel_Frequently,537,Sales,19,3,Other,1.0,243,3,Female,47,1,3,Healthcare Representative,2,Married,15875,7480,3,Y,Yes,19,3,3,80,2,29,3,2,36,6,7,1
28,Yes,Travel_Rarely,1243,Sales,5,2,Human Resources,1.0,244,1,Male,62,3,4,Research Director,2,Divorced,17973,23182,6,Y,No,21,3,3,80,0,30,2,1,25,17,0,1
39,No,Travel_Rarely,699,Research & Development,11,1,Other,1.0,245,2,Male,36,3,1,Research Scientist,1,Married,4270,14370,8,Y,No,22,4,1,80,1,3,0,4,25,14,3,5
51,Yes,Travel_Frequently,1051,Sales,22,3,Other,1.0,246,4,Female,34,4,4,Laboratory Technician,2,Divorced,5452,17349,5,Y,Yes,23,4,4,80,0,27,5,2,11,8,5,5
55,Yes,Travel_Frequently,552,Human Resources,7,1,Marketing,1.0,247,3,Male,95,3,3,Sales Representative,2,Married,6669,13596,5,Y,No,13,4,4,80,1,1,2,2,31,11,8,1
19,Yes,Travel_Frequently,798,Research & Development,19,2,Technical Degree,1.0,248,2,Male,52,3,3,Manufacturing Director,4,Divorced,14444,9367,0,Y,No,23,4,2,80,2,22,2,1,2,2,14,1
46,Yes,Travel_Frequently,1295,Research & Development,28,1,Medical,1.0,249,2,Female,80,4,3,Research Scientist,2,Married,4596,24266,7,Y,Yes,15,3,4,80,3,21,1,1,20,6,9,8
41,No,Travel_Frequently,443,Human Resources,15,2,Medical,1.0,250,1,Male,35,2,1,Research Scientist,4,Divorced,2159,9476,9,Y,Yes,12,4,2,80,0,16,5,4,29,15,5,13
28,Yes,Travel_Frequently,1195,Sales,12,1,Other,1.0,251,3,Male,42,2,3,Laboratory Technician,3,Divorced,14684,8573,2,Y,No,17,4,4,80,1,14,2,3,4,2,10,0
21,No,Non-Travel,842,Research & Development,18,1,Other,1.0,252,4,Female,65,2,3,Laboratory Technician,2,Divorced,6253,12710,8,Y,Yes,19,3,1,80,2,1,1,2,11,14,9,8
39,No,Travel_Rarely,708,Research & Development,10,2,Medical,1.0,253,4,Female,95,1,3,Healthcare Representative,3,Divorced,7710,22538,6,Y,No,22,3,3,80,1,26,2,3,6,7,13,4
30,No,Non-Travel,265,Research & Development,22,3,Other,1.0,254,3,Male,51,3,2,Research Director,4,Single,12437,23761,2,Y,Yes,12,4,4,80,3,27,1,3,35,9,13,8
32,Yes,Non-Travel,873,Research & Development,24,4,Technical Degree,1.0,255,3,Male,74,2,4,Research Scientist,1,Married,19719,13746,5,Y,Yes,21,3,4,80,0,0,5,1,12,10,1,6
46,No,Travel_Rarely,110,Research & Development,22,2,Other,1.0,256,4,Male,75,2,4,Research Director,1,Married,17408,19017,0,Y,Yes,22,3,3,80,2,18,1,3,1,13,0,6
19,Yes,Non-Travel,513,Research & Development,11,4,Human Resources,1.0,257,2,Female,99,1,1,Sales Representative,2,Divorced,12442,20633,8,Y,Yes,22,4,4,80,1,15,2,4,7,4,12,3
50,Yes,Travel_Rarely,321,Research & Development,21,4,Human Resources,1.0,258,2,Male,44,3,3,Laboratory Technician,4,Single,15094,21290,6,Y,Yes,19,3,1,80,0,10,1,2,34,15,4,3
27,No,Non-Travel,1250,Human Resources,1,2,Marketing,1.0,259,2,Female,50,1,1,Research Scientist,2,Married,8013,9840,2,Y,No,19,3,2,80,2,13,5,2,5,4,4,12
32,Yes,Non-Travel,530,Sales,14,1,Human Resources,1.0,260,2,Male,91,2,4,Healthcare Representative,3,Married,7957,9361,0,Y,No,15,3,3,80,1,10,2,3,8,5,2,8
51,Yes,Travel_Frequently,1387,Research & Development,13,2,Life Sciences,1.0,261,3,Male,67,2,4,Laboratory Technician,3,Single,19797,24674,3,Y,Yes,21,3,4,80,0,34,1,3,7,17,11,14
30,Yes,Travel_Rarely,485,Research & Development,1,2,Medical,1.0,262,2,Female,79,3,3,Laboratory Technician,3,Married,7674,16627,8,Y,Yes,22,3,3,80,2,0,3,1,12,2,4,4
40,No,Travel_Rarely,877,Research & Development,16,1,Other,1.0,263,3,Male,74,3,1,Research Scientist,2,Single,5957,9970,8,Y,No,24,3,4,80,1,17,0,4,14,9,12,0
19,No,Travel_Frequently,168,Research & Development,24,3,Human Resources,1.0,264,3,Male,36,1,3,Research Director,2,Married,12343,10247,2,Y,Yes,11,3,1,80,1,32,1,2,22,6,5,11
20,Yes,Travel_Rarely,1424,Research & Development,21,2,Technical Degree,1.0,265,2,Male,73,4,4,Laboratory Technician,1,Single,18458,21715,9,Y,No,14,3,4,80,1,39,1,4,16,17,7,14
48,No,Travel_Frequently,200,Human Resources,27,1,Marketing,1.0,266,1,Male,31,2,2,Manager,1,Married,15040,12896,9,Y,Yes,19,3,1,80,3,21,1,4,38,0,5,5
18,Yes,Non-Travel,696,Human Resources,5,3,Marketing,1.0,267,2,Female,98,3,4,Research Director,1,Divorced,2939,6183,3,Y,Yes,24,3,4,80,1,16,3,4,24,15,2,0
37,No,Non-Travel,335,Sales,27,4,Marketing,1.0,268,3,Male,62,3,1,Sales Executive,4,Divorced,6108,15425,0,Y,Yes,16,4,3,80,0,37,4,2,0,3,0,11
43,No,Travel_Frequently,116,Human Resources,2,3,Life Sciences,1.0,269,3,Male,39,2,3,Manager,3,Married,7519,6830,8,Y,Yes,19,3,3,80,2,22,4,4,13,11,14,12
18,Yes,Travel_Rarely,1387,Research & Development,23,2,Other,1.0,270,4,Female,90,2,3,Manager,3,Single,4770,22846,3,Y,No,14,3,3,80,2,34,5,2,11,15,7,14
31,No,Non-Travel,167,Research & Development,16,4,Technical Degree,1.0,271,1,Male,40,3,2,Laboratory Technician,2,Divorced,19309,8802,0,Y,No,12,4,2,80,3,11,3,4,11,13,14,2
33,No,Travel_Rarely,794,Research & Development,25,2,Human Resources,1.0,272,1,Female,42,2,4,Research Director,2,Married,4342,13120,9,Y,No,21,3,1,80,1,13,4,2,20,8,7,0
25,No,Travel_Frequently,311,Research & Development,29,4,Medical,1.0,273,1,Female,34,4,3,Sales Executive,1,Married,19615,8203,5,Y,No,16,4,4,80,1,30,5,1,8,5,8,4
34,No,Travel_Rarely,315,Sales,2,2,Life Sciences,1.0,274,1,Female,87,2,1,Manufacturing Director,1,Divorced,13692,17256,0,Y,No,23,4,3,80,3,27,5,1,17,14,8,13
35,No,Travel_Frequently,385,Human Resources,3,4,Life Sciences,1.0,275,3,Female,35,4,1,Laboratory Technician,2,Divorced,5001,15096,0,Y,No,21,3,3,80,3,29,1,1,37,12,4,12
